timestamp,symbol,quantity,price,style,typeOption,stockName,stockSector,marketCap,InternalNum
2025-06-18 17:42:54.222803,ADM,680,355.41,American,Call,Unknown,Unknown,,83
2025-06-18 21:50:05.890402,CLX,136,555.3,American,Call,Unknown,Unknown,,53
2025-06-19 08:35:20.162466,AKAM,409,694.03,American,Put,Unknown,Unknown,,70
2025-06-19 09:42:59.232650,DASH,60,293.45,European,Put,Unknown,Unknown,,45
2025-06-19 06:26:58.571431,GILD,749,726.93,American,Call,Unknown,Unknown,,44
2025-06-19 09:38:54.804940,SCHW,144,582.66,American,Call,Unknown,Unknown,,39
2025-06-18 18:18:39.376366,EQR,446,200.4,European,Put,Unknown,Unknown,,22
2025-06-19 02:20:27.603205,LHX,312,850.35,American,Call,Unknown,Unknown,,80
2025-06-19 08:14:30.390832,TXT,285,190.9,American,Put,Unknown,Unknown,,10
2025-06-18 18:21:21.244645,BAC,282,122.51,European,Call,Unknown,Unknown,,0
2025-06-18 20:15:36.191586,FCX,142,425.8,American,Call,Unknown,Unknown,,18
2025-06-19 08:57:47.474680,VST,748,585.37,European,Put,Unknown,Unknown,,30
2025-06-19 14:53:22.275680,BKR,354,636.91,American,Put,Unknown,Unknown,,73
2025-06-19 15:56:49.610106,AON,61,737.06,European,Call,Unknown,Unknown,,33
2025-06-19 00:20:58.962701,NSC,573,578.02,American,Put,Unknown,Unknown,,90
2025-06-19 15:57:25.335937,QCOM,715,825.24,American,Put,Unknown,Unknown,,4
2025-06-19 01:28:24.593247,ANSS,941,953.99,American,Put,Unknown,Unknown,,76
2025-06-18 17:33:25.377125,TPR,922,212.16,American,Put,Unknown,Unknown,,77
2025-06-18 19:23:32.094205,MNST,747,254.02,European,Call,Unknown,Unknown,,12
2025-06-19 02:33:48.177717,NOC,449,684.89,American,Call,Unknown,Unknown,,31
2025-06-18 17:24:07.859732,SOLV,955,599.14,European,Call,Unknown,Unknown,,55
2025-06-19 01:41:57.617637,KO,979,258.3,American,Call,Unknown,Unknown,,88
2025-06-18 23:30:43.575882,A,372,200.68,American,Call,Unknown,Unknown,,26
2025-06-19 08:06:57.057060,KMX,493,465.77,European,Put,Unknown,Unknown,,42
2025-06-19 09:23:19.447247,SOLV,359,926.61,American,Call,Unknown,Unknown,,69
2025-06-19 07:02:34.050554,APH,966,289.88,American,Call,Unknown,Unknown,,15
2025-06-19 06:40:55.436964,HWM,946,324.83,European,Put,Unknown,Unknown,,40
2025-06-19 08:19:03.341317,FE,724,724.55,European,Call,Unknown,Unknown,,96
2025-06-19 13:48:29.519995,AMCR,792,693.93,American,Call,Unknown,Unknown,,9
2025-06-19 15:15:21.579313,BDX,268,889.33,European,Put,Unknown,Unknown,,72
2025-06-19 10:37:31.173544,FICO,687,419.74,American,Call,Unknown,Unknown,,11
2025-06-18 22:51:00.877638,APTV,71,866.21,European,Call,Unknown,Unknown,,47
2025-06-19 15:21:55.661528,AMCR,487,320.36,European,Put,Unknown,Unknown,,85
2025-06-18 23:35:45.934314,SNA,779,162.29,European,Call,Unknown,Unknown,,28
2025-06-18 18:27:01.282466,DELL,534,787.61,American,Call,Unknown,Unknown,,93
2025-06-19 06:41:26.240000,CDNS,782,293.78,American,Call,Unknown,Unknown,,5
2025-06-19 10:09:17.235297,TRMB,184,471.06,American,Put,Unknown,Unknown,,66
2025-06-18 19:00:16.558130,PEG,953,239.1,European,Call,Unknown,Unknown,,65
2025-06-18 17:20:50.872731,PODD,136,292.81,American,Call,Unknown,Unknown,,35
2025-06-18 17:48:34.666313,ISRG,937,456.07,American,Call,Unknown,Unknown,,16
2025-06-18 19:03:02.646519,APTV,598,477.3,American,Put,Unknown,Unknown,,49
2025-06-19 15:06:50.222212,TSLA,527,397.39,European,Put,Unknown,Unknown,,34
2025-06-19 14:42:28.234036,PNW,128,513.48,American,Call,Unknown,Unknown,,7
2025-06-19 04:45:02.589392,EW,86,903.72,European,Call,Unknown,Unknown,,95
2025-06-19 14:12:45.283625,CPRT,970,890.21,European,Call,Unknown,Unknown,,27
2025-06-19 14:34:36.953291,TSLA,643,198.68,European,Put,Unknown,Unknown,,19
2025-06-19 01:31:28.268543,ROP,671,621.99,American,Put,Unknown,Unknown,,81
2025-06-19 10:57:41.855585,FRT,553,786.26,European,Put,Unknown,Unknown,,25
2025-06-19 03:35:14.202454,MPC,441,597.27,European,Call,Unknown,Unknown,,62
2025-06-19 00:24:32.811889,FITB,950,342.95,European,Put,Unknown,Unknown,,13
2025-06-18 22:51:40.686338,VLTO,641,195.77,American,Call,Unknown,Unknown,,24
2025-06-18 18:00:24.722692,PKG,231,590.45,American,Put,Unknown,Unknown,,3
2025-06-19 07:08:35.575978,AVGO,575,321.96,American,Put,Unknown,Unknown,,17
2025-06-19 14:06:54.078489,IT,820,755.39,European,Call,Unknown,Unknown,,38
2025-06-18 21:20:28.927548,DPZ,634,846.46,American,Call,Unknown,Unknown,,8
2025-06-18 17:26:26.064601,GEV,714,391.34,American,Call,Unknown,Unknown,,78
2025-06-19 13:01:27.509062,FITB,868,187.04,American,Put,Unknown,Unknown,,6
2025-06-19 09:01:15.730987,NXPI,106,324.58,American,Put,Unknown,Unknown,,64
2025-06-19 00:02:52.519047,SPG,97,466.35,European,Put,Unknown,Unknown,,36
2025-06-18 21:10:58.296326,CSGP,129,925.72,American,Call,Unknown,Unknown,,89
2025-06-19 07:10:08.587224,BDX,761,900.74,European,Put,Unknown,Unknown,,56
2025-06-18 23:56:05.858611,ABBV,306,948.47,American,Put,Unknown,Unknown,,99
2025-06-19 07:51:06.811946,FICO,451,356.49,American,Call,Unknown,Unknown,,54
2025-06-19 14:10:57.816267,CAH,400,441.08,American,Put,Unknown,Unknown,,43
2025-06-19 09:13:03.748240,NTRS,245,744.57,American,Put,Unknown,Unknown,,50
2025-06-18 17:20:18.178760,TPL,255,761.55,American,Call,Unknown,Unknown,,67
2025-06-19 14:13:59.886031,AEP,515,625.76,European,Call,Unknown,Unknown,,46
2025-06-18 16:15:18.789969,BKR,40,444.29,American,Call,Unknown,Unknown,,68
2025-06-18 21:03:13.496212,MCN,968,200.69,European,Call,Unknown,Unknown,,61
2025-06-19 02:03:03.993128,GEHE,478,397.79,American,Call,Unknown,Unknown,,97
2025-06-19 09:39:26.912866,GPC,389,698.44,European,Put,Unknown,Unknown,,79
2025-06-18 21:23:56.328586,ADP,554,145.53,European,Call,Unknown,Unknown,,41
2025-06-18 22:56:11.210166,ICE,930,326.01,European,Call,Unknown,Unknown,,58
2025-06-19 02:25:01.790608,BBY,584,947.44,European,Call,Unknown,Unknown,,48
2025-06-19 09:09:05.230895,SYK,927,478.13,European,Put,Unknown,Unknown,,98
2025-06-19 06:34:10.478249,MDT,352,289.57,European,Put,Unknown,Unknown,,57
2025-06-19 14:41:23.500113,PARA,533,492.45,European,Put,Unknown,Unknown,,75
2025-06-19 07:43:48.917785,CL,22,154.44,European,Call,Unknown,Unknown,,32
2025-06-19 06:50:01.893076,DOC,293,169.74,European,Put,Unknown,Unknown,,94
2025-06-18 18:32:12.048391,GILD,48,846.41,European,Put,Unknown,Unknown,,59
2025-06-19 05:40:14.926050,XOM,816,909.08,European,Put,Unknown,Unknown,,63
2025-06-19 08:10:54.964975,NCLH,826,379.38,European,Call,Unknown,Unknown,,84
2025-06-19 04:05:53.254410,GILD,885,469.99,European,Call,Unknown,Unknown,,37
2025-06-18 17:39:46.657092,IEX,170,952.16,American,Put,Unknown,Unknown,,29
2025-06-19 11:25:22.269168,PPL,759,192.25,European,Put,Unknown,Unknown,,1
2025-06-19 15:52:05.217859,HRL,577,659.04,European,Call,Unknown,Unknown,,52
2025-06-18 21:17:38.448640,TSLA,702,948.19,European,Put,Unknown,Unknown,,21
2025-06-19 15:05:24.089379,ALGN,239,184.33,European,Call,Unknown,Unknown,,2
2025-06-19 16:04:40.090925,WELL,737,749.88,American,Call,Unknown,Unknown,,23
2025-06-19 02:33:56.904704,GLW,705,232.81,European,Call,Unknown,Unknown,,87
2025-06-18 19:17:59.619478,SNA,517,747.35,American,Put,Unknown,Unknown,,91
2025-06-18 19:30:22.870288,JBL,922,204.08,European,Put,Unknown,Unknown,,74
2025-06-19 02:03:56.241213,TYL,195,666.79,American,Put,Unknown,Unknown,,86
2025-06-19 01:07:53.044054,HSIC,524,708.06,American,Call,Unknown,Unknown,,82
2025-06-18 19:49:37.589459,AMGN,607,446.29,American,Put,Unknown,Unknown,,20
2025-06-19 11:44:12.864055,MCV,166,981.82,American,Put,Unknown,Unknown,,60
2025-06-19 13:49:20.860308,WDAY,360,795.99,American,Put,Unknown,Unknown,,71
2025-06-19 14:16:33.425935,CAG,825,839.62,American,Put,Unknown,Unknown,,14
2025-06-19 10:47:00.584631,PGR,461,875.35,American,Call,Unknown,Unknown,,92
2025-06-19 11:43:04.500657,NOC,469,680.95,American,Call,Unknown,Unknown,,51
